MovementID,EquipmentID
1,15
2,69
3,15
5,79
6,60
8,70
10,98
11,99
12,98
12,15
12,34
12,80
13,15
14,98
14,15
14,34
14,80
15,98
15,15
15,34
15,80
16,98
16,15
16,34
16,80
17,69
17,79
18,64
19,64
20,64
21,65
22,15
22,60
22,74
23,15
23,60
23,74
24,15
24,60
24,74
18,15
18,60
18,74
25,15
25,60
25,74
26,15
27,15
27,69
28,15
28,69
29,41
29,34
30,41
30,34
31,41
31,34
32,55
19,46
19,69
33,69
34,46
34,69
35,60
8,60
36,15
36,34
8,15
8,34
37,15
37,34
38,15
38,69
39,24
40,79
15,13
15,60
41,34
41,98
41,60
41,15
42,34
42,98
42,60
42,15
43,4
29,4
44,4
45,80
45,46
46,4
46,34
18,4
18,34
47,4
47,34
48,15
48,32
49,79
50,55
19,55
51,55
52,41
18,41
53,41
19,41
54,24
8,69
8,80
55,69
55,80
14,60
56,15
56,34
56,60
57,15
57,34
57,60
58,7
8,62
19,62
59,15
59,69
60,32
60,54
15,32
15,54
61,32
61,54
18,52
8,64
63,64
64,69
65,15
65,82
27,82
66,26
67,26
68,91
68,15
68,80
48,91
48,80
27,43
27,34
19,15
19,43
19,34
15,43
37,43
69,15
69,69
69,55
14,69
14,55
32,15
32,69
70,4
70,69
29,69
18,69
71,15
71,73
72,98
72,53
74,98
74,53
75,15
75,32
75,73
76,15
76,32
76,73
77,15
77,32
77,73
79,69
80,25
15,69
56,69
56,43
81,34
81,15
81,69
81,43
14,43
82,34
82,15
82,69
82,43
83,34
83,15
83,69
83,43
84,15
84,82
8,55
85,55
86,77
86,80
86,97
87,15
87,98
22,98
18,98
89,80
89,15
90,80
90,15
92,79
18,32
93,48
93,60
57,48
94,88
95,98
95,69
8,98
96,4
98,60
98,69
98,97
99,65
100,79
57,80
101,24
27,24
18,24
102,32
102,15
8,32
103,82
27,73
104,32
105,79
106,77
106,60
107,60
32,43
108,15
108,91
109,15
109,91
110,41
110,82
48,30
112,30
114,64
115,64
15,64
8,92
116,64
77,64
19,72
18,82
117,97
117,15
69,97
14,97
118,97
118,15
27,55
119,60
119,81
18,80
18,55
32,80
77,69
77,43
19,73
29,86
120,86
120,34
8,86
121,26
122,64
123,64
32,56
32,62
19,56
124,16
124,97
22,26
22,73
77,26
15,95
56,95
46,95
125,95
82,95
126,95
29,95
127,95
12,95
18,95
32,95
8,101
128,69
128,101
129,41
129,69
129,55
32,41
130,41
130,69
130,55
131,35
131,101
15,46
56,46
132,34
132,15
132,46
132,69
76,34
76,46
76,69
133,15
84,101
27,60
37,60
25,46
18,46
19,60
84,28
12,97
77,97
8,97
8,73
98,61
98,15
22,61
137,61
137,15
124,15
124,69
48,34
138,15
139,55
139,15
139,69
22,55
22,69
15,4
15,55
56,4
56,55
140,34
140,4
140,55
29,55
32,34
32,4
57,69
57,97
141,15
141,60
141,34
76,60
8,82
142,15
142,82
46,86
19,86
15,86
